Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
1609,420th Separate Special Purpose Naval Reconnaissance Point,"33.18832927202418,68.85915237129718,0",33.18832927202418,68.85915237129718,military unit 43063,Garrison / Unit Base,garrison,"[""naval""]"
1610,516th Communications Center,"33.47327701742353,69.07461287684941,0",33.47327701742353,69.07461287684941,military unit 40630,Garrison / Unit Base,garrison,"[""electronic""]"
1611,536th Separate Coastal Missile Brigade,"33.3156649168349,69.20294416570754,0",33.3156649168349,69.20294416570754,military unit 10544,Missile Unit / Site,missile_base,"[""missile""]"
1612,99th Tactical Group,"137.6572657229708,75.79130974607905,0",137.6572657229708,75.79130974607905,military unit 74777,Garrison / Unit Base,garrison,[]
1613,Novaya Zemla Tactical Group,"52.44836761174761,71.57982972558789,0",52.44836761174761,71.57982972558789,,Unknown,unknown,[]
1614,Alexandra Land Tactical Group,"47.54482869670639,80.79797442472939,0",47.54482869670639,80.79797442472939,,Unknown,unknown,[]
1615,Sredny Tactical Group,"91.16461825787997,79.51855895532189,0",91.16461825787997,79.51855895532189,,Unknown,unknown,[]
1616,/R 531st Guards Anti-Aircraft Missile Regiment,"33.25741562977065,69.23195112856305,0",33.25741562977065,69.23195112856305,"military unit 70148, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1617,"/R 
531st Guards Anti-Aircraft Missile Regiment","33.24465739851784,69.04321057476332,0",33.24465739851784,69.04321057476332,"military unit 70148, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1618,/R 531st Guards Anti-Aircraft Missile Regiment,"33.34841666666667,69.05572733539491,0",33.34841666666667,69.05572733539491,"military unit 70148, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1619,531st Guards Anti-Aircraft Missile Regiment HQ,"33.42519219647069,69.18838474268517,0",33.42519219647069,69.18838474268517,military unit 70148,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1620,/R 583rd Anti-Aircraft Missile Regiment,"33.31755928796098,68.20781161961811,0",33.31755928796098,68.20781161961811,"military unit 36226, (S-300PM, S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1621,/R 583rd Anti-Aircraft Missile Regiment,"33.50127929673313,68.14576093927769,0",33.50127929673313,68.14576093927769,"military unit 36226, (S-300PM, S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1622,/R 1528th Anti-Aircraft Missile Regiment,"39.82712974133462,64.61390378024817,0",39.82712974133462,64.61390378024817,"military unit 92485, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1623,/R 1528th Anti-Aircraft Missile Regiment,"39.64744670722947,64.4961871731058,0",39.64744670722947,64.4961871731058,"military unit 92485, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1624,1528th Anti-Aircraft Missile Regiment HQ,"39.8580182652226,64.56411220270213,0",39.8580182652226,64.56411220270213,military unit 92485,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1625,/R 331st Radio-Technical Regiment,"33.64240565293116,69.04160416757216,0",33.64240565293116,69.04160416757216,military unit 36138,Garrison / Unit Base,garrison,"[""electronic""]"
1626,/R 331st Radio-Technical Regiment,"33.43263333466129,69.20993882753714,0",33.43263333466129,69.20993882753714,military unit 36138-B,Garrison / Unit Base,garrison,"[""electronic""]"
1627,/R 331st Radio-Technical Regiment,"30.48954827900883,67.60154215079754,0",30.48954827900883,67.60154215079754,military unit 36138-G,Garrison / Unit Base,garrison,"[""electronic""]"
1628,/R 331st Radio-Technical Regiment,"30.37818886912537,66.97576628141098,0",30.37818886912537,66.97576628141098,military unit 36138-I,Garrison / Unit Base,garrison,"[""electronic""]"
1629,/R 331st Radio-Technical Regiment,"39.53541838713603,68.00582636559574,0",39.53541838713603,68.00582636559574,military unit 36138-V,Garrison / Unit Base,garrison,"[""electronic""]"
1630,/R 331st Radio-Technical Regiment,"31.96280417840137,69.94159600905758,0",31.96280417840137,69.94159600905758,military unit 36138-D,Garrison / Unit Base,garrison,"[""electronic""]"
1631,/R 331st Radio-Technical Regiment,"29.54828390976069,68.04910014979892,0",29.54828390976069,68.04910014979892,military unit 36138-L,Garrison / Unit Base,garrison,"[""electronic""]"
1632,/R 331st Radio-Technical Regiment,"34.99679821296815,68.0188794473237,0",34.99679821296815,68.0188794473237,military unit 36138-M,Garrison / Unit Base,garrison,"[""electronic""]"
1633,/R 331st Radio-Technical Regiment,"35.99183635376212,66.34974829019497,0",35.99183635376212,66.34974829019497,military unit 36138-N,Garrison / Unit Base,garrison,"[""electronic""]"
1634,/R 331st Radio-Technical Regiment,"28.87046970232672,68.91147463422753,0",28.87046970232672,68.91147463422753,military unit 36138-P,Garrison / Unit Base,garrison,"[""electronic""]"
1635,/R 331st Radio-Technical Regiment,"36.0519968217432,69.13288752189955,0",36.0519968217432,69.13288752189955,military unit 36138-R,Garrison / Unit Base,garrison,"[""electronic""]"
1636,/R 331st Radio-Technical Regiment,"30.96289953788536,69.43375522016869,0",30.96289953788536,69.43375522016869,military unit 36138-Zh,Garrison / Unit Base,garrison,"[""electronic""]"
1637,/R 331st Radio-Technical Regiment,"32.77054751908321,67.42633417437904,0",32.77054751908321,67.42633417437904,military unit 36138-K,Garrison / Unit Base,garrison,"[""electronic""]"
1638,331st Radio-Technical Regiment HQ,"33.44212248387978,69.06115408113769,0",33.44212248387978,69.06115408113769,military unit 36138,Garrison / Unit Base,garrison,"[""electronic"", ""hq""]"
1639,/R 332nd Radio-Technical Regiment,"40.74111237201811,64.58572434714415,0",40.74111237201811,64.58572434714415,military unit 21514,Garrison / Unit Base,garrison,"[""electronic""]"
1640,/R 332nd Radio-Technical Regiment,"40.50374791252547,63.3596857619683,0",40.50374791252547,63.3596857619683,military unit 21514-A,Garrison / Unit Base,garrison,"[""electronic""]"
1641,/R 332nd Radio-Technical Regiment,"40.14861111111111,65.67217963277258,0",40.14861111111111,65.67217963277258,military unit 21514-E,Garrison / Unit Base,garrison,"[""electronic""]"
1642,/R 332nd Radio-Technical Regiment,"44.26334632149499,65.84139128771163,0",44.26334632149499,65.84139128771163,military unit 21514-L,Garrison / Unit Base,garrison,"[""electronic""]"
1643,/R 332nd Radio-Technical Regiment,"53.15090526049732,67.66964798854855,0",53.15090526049732,67.66964798854855,military unit 21514-V,Garrison / Unit Base,garrison,"[""electronic""]"
1644,/R 332nd Radio-Technical Regiment,"
													44.15677958546079,67.85820824051656,0 44.15056870289922,67.85721036854056,0 44.15024517334517,67.85715282578904,0 44.14981987469753,67.85701383482213,0 44.14950105163892,67.85691498100169,0 44.14918274164498,67.85681628483495,0 44.14875574597955,67.85671938757201,0 44.14854765577418,67.85661936468506,0 44.1482456260625,67.8563770143079,0 44.14809504540356,67.85625618700051,0 44.14795119562115,67.85607415451591,0 44.14789902983996,67.85605450494009,0 44.1478533642203,67.85597352220046,0 44.14771454090251,67.85575155460791,0 44.1476171498372,67.85565143405495,0 44.14737323542192,67.85541195375211,0 44.14717516419092,67.8552533458988,0 44.14713024798379,67.85517338226462,0 44.14693744172951,67.85497512779874,0 44.14684126759363,67.85487623517984,0 44.14675449635907,67.8546973298785,0 44.14677296702515,67.85453729551229,0 44.14678909019776,67.85439759523999,0 44.14679598909118,67.85433781786119,0 44.14697260368527,67.85419614481826,0 44.147362649548,67.85405157041342,0 44.14823858820635,67.85384077141771,0 44.14927353041396,67.85360852596236,0 44.15025170825309,67.85337787147071,0 44.15095453692187,67.85323026456976,0 44.15138891698081,67.85310650825575,0 44.15181801221304,67.85304152254687,0 44.15246159496203,67.85293440926881,0 44.15315586277343,67.85284612419903,0 44.15369042515889,67.85276033830776,0 44.15422321073051,67.85269407388111,0 44.15443596996678,67.85267146775723,0 44.15470156466635,67.85264807121447,0 44.15507579992138,67.85256491317261,0 44.15560897704717,67.85246011378075,0 44.15635247444693,67.85235229094343,0 44.15725369306697,67.85222295985811,0 44.15788870699047,67.85213633933752,0 44.15857560530128,67.85204902823966,0 44.15920834630625,67.85200103987786,0 44.15989378521059,67.85191388731985,0 44.16068355648205,67.85182525028983,0 44.16152496147575,67.85177421844244,0 44.16210328501435,67.8517654776502,0 44.16262863692268,67.85171924055469,0 44.16304910625909,67.85171288283742,0 44.1634166956928,67.85168818505669,0 44.16373162930203,67.85166428878851,0 44.16446673811204,67.85163404015211,0 44.16530605911674,67.85158310193964,0 44.16577872057245,67.85157594692309,0 44.16651397115687,67.85156481410806,0 44.16709166869082,67.85155606449696,0 44.16745834904653,67.85153140036724,0 44.16771892630423,67.8514892512284,0 44.1678743877817,67.8514487179384,0 44.16834343814065,67.85138438727387,0 44.16855102365445,67.85134312191447,0 44.1688120544657,67.85132011444601,0 44.16907181138119,67.85127809260422,0 44.16948608386609,67.85119571351632,0 44.17026490538858,67.85108891079952,0 44.17099171441804,67.85100199624731,0 44.17177151044554,67.85093330698896,0 44.1720835581617,67.85090963014891,0 44.17244948764923,67.85090407476939,0 44.17281541759196,67.85089851853198,0 44.17307679619816,67.85089454926883,0 44.17344272663603,67.85088899156507,0 44.17370410573344,67.85088502125244,0 44.17417656503154,67.85089678382148,0 44.17464917055479,67.85090854860579,0 44.1750173220083,67.85092190544975,0 44.17543789572725,67.85093447039621,0 44.17554251241774,67.85093288003156,0 44.17580405422643,67.8509289038147,0 44.17627483025154,67.85092174551838,0 44.17663863253875,67.85089725500403,0 44.17705219534885,67.85085306625065,0 44.17720660513844,67.85083177687699,0 44.17741076142372,67.85079080744954,0 44.17777152517911,67.85074747791886,0 44.17818170448761,67.85068451865472,0 44.17843491702379,67.85062399956119,0 44.17853666530362,67.85060357396391,0 44.17888849432868,67.85050392036939,0 44.17909163333717,67.85046314824451,0 44.17923703609657,67.85038564580967,0 44.17943710509524,67.85032619313826,0 44.17963698958014,67.8502667945794,0 44.17973545347699,67.85022775392981,0 44.17998706069234,67.85016765289983,0 44.18013733838199,67.85012787984203,0 44.18028752353578,67.85008813085392,0 44.18058467436599,67.84999005065026,0 44.18099118304264,67.84992779263951,0 44.18124468145487,67.84988658189066,0 44.18149802515811,67.849845395738,0 44.1816993447214,67.84980502491113,0 44.18190054088341,67.84976467832736,0 44.18210478585919,67.84974293307674,0 44.18225393630832,67.84970341348905,0 44.18240621075271,67.84968247723343,0 44.18266532437699,67.84967852558489,0 44.18292443778494,67.84967457350614,0 44.18370178017238,67.84966271463571,0 44.18418213591488,67.84972987571182,0 44.1842928584806,67.84976546550838,0 44.18441775901737,67.84987553418641,0 44.18463968670066,67.84994691063405,0 44.18486188664416,67.85001837385406,0 44.18503597673021,67.85010941340529,0 44.18525872714228,67.85018107354425,0 44.18538495942867,67.85029190926889,0 44.18557474439211,67.85045854471456,0 44.18581353466425,67.85060598670336,0 44.18593315124551,67.85067984316349,0 44.18605291429295,67.85075379018036,0 44.18624051832552,67.85090275611701,0 44.18642471163746,67.85103310149418,0 44.18644021839872,67.85110908369792,0 44.18662494201454,67.85123987202925,0 44.18680217948284,67.85133277754838,0 44.18685868450437,67.85135105462803,0 44.18693106262802,67.8514457378317,0 44.18705619560418,67.85153976319066,0 44.18718152419029,67.8516339337073,0 44.18725029606674,67.85170985797174,0 44.18737190481625,67.85178507048668,0 44.18755460146744,67.85189806380897,0 44.18781522330225,67.85212629699949,0 44.18801965959061,67.85233679829527,0 44.18819271656128,67.8526461864911,0 44.18835816592709,67.85291796540625,0 44.18855630712642,67.85309191245004,0 44.18874041431434,67.85344454611618,0 44.18880965421945,67.85376112802113,0 44.18890543431026,67.85419903688428,0 44.18898869432884,67.85457968358233,0 44.18903271834643,67.85478094426301,0 44.18906361900005,67.85492220690875,0 44.1891034501317,67.85510429152649,0 44.18913006807131,67.85522597078088,0 44.18915673726545,67.85534788242103,0 44.18917454534098,67.85542928657668,0 44.18921023007839,67.85559240583679,0 44.18923705393235,67.85571501866511,0 44.18927289982376,67.85587886853286,0 44.18930883819408,67.85604313764108,0 44.18945416051244,67.85620615932393,0 44.18964088565515,67.85630679917323,0 44.1900700197284,67.85650772699555,0 44.19032188471198,67.85664951428244,0 44.19057905076311,67.85681242749034,0 44.19094685118183,67.85697408137771,0 44.19139016494879,67.85721902788532,0 44.19236227747408,67.85758359012635,0 44.1926640430613,67.85768476524439,0 44.19359338456375,67.85807412000759,0 44.19409605189522,67.85830121810092,0 44.19460053598399,67.8585291313412,0 44.19503446050371,67.85869439374689,0 44.19541931922724,67.85888243129619,0 44.19573807514788,67.85902878121578,0 44.19600161172345,67.85917632288142,0 44.19625999372624,67.85930256768063,0 44.19644541371332,67.85936492641343,0 44.19670462217382,67.85949154409312,0 44.19708256369074,67.85963843559973,0 44.19721864140164,67.85972375365695,0 44.19740515752338,67.85978652603191,0 44.1976661850773,67.85991397876006,0 44.19799624542343,67.86008459639413,0 44.19825847289169,67.8602126400487,0 44.19845239918502,67.86029785604899,0 44.1988472787712,67.86049065354563,0 44.19905459946668,67.86062037120917,0 44.19924334729842,67.86068402732873,0 44.19957751088126,67.86085669014203,0 44.20001317393054,67.86098366604928,0 44.20008937578505,67.86104942176492,0 44.20023549474596,67.86115887058079,0 44.20033152082401,67.86129166913256,0 44.2004343039038,67.86144708293068,0 44.20049347066507,67.86164855765306,0 44.20053961377262,67.86180568027298,0 44.2005792520487,67.86194065043072,0 44.20062559869424,67.86209845966313,0 44.20054420561073,67.86221316060929,0 44.20036120920482,67.86237511873978,0 44.20021545297963,67.86246846453167,0 44.20017120390531,67.8625147454223,0 44.19992988681717,67.86267829307921,0 44.19977699994863,67.86274925669549,0 44.19940673563936,67.86286944889352,0 44.19919579465,67.86294148501958,0 44.19897185268717,67.86296786137397,0 44.19847874839823,67.86306728659164,0 44.19836348718911,67.86306904844794,0 44.19813296261604,67.86307257198771,0 44.19709561446542,67.86308842433134,0 44.19567236431878,67.86317916092763,0 44.19376963405549,67.8632082086885,0 44.19117504840463,67.86324778847531,0 44.18875348015565,67.86328469760397,0 44.18725443409161,67.8633075306542,0 44.18662022707971,67.8633171872297,0 44.18638960644171,67.86332069819603,0 44.18603108832304,67.86325716235515,0 44.18573467415157,67.86321571764627,0 44.18520001752866,67.863132035061,0 44.18454709987,67.86302737020911,0 44.18371909487061,67.86290270214936,0 44.18300757601966,67.86277653690482,0 44.18199683377112,67.86256420942557,0 44.1810467132954,67.86235172106169,0 44.18016641189723,67.86220669994643,0 44.17933920598224,67.86201615816225,0 44.17840916941329,67.86189521806483,0 44.17788511403569,67.86181328246876,0 44.17782262716187,67.86176932954366,0 44.17752708546562,67.861684103065,0 44.17722927914355,67.86157665097323,0 44.176586055407,67.86142996589693,0 44.1755992749904,67.86124432804804,0 44.17462210766978,67.8611257443643,0 44.17387532431441,67.86102610041732,0 44.17341653999749,67.86096656365808,0 44.17312978786261,67.86092661906436,0 44.1726679888088,67.86082301759235,0 44.17203938280511,67.86074419588438,0 44.1713535273747,67.86064431686387,0 44.17061244598113,67.86054545442971,0 44.17026979889115,67.86048467815527,0 44.16975856045143,67.86042651999986,0 44.16930543384659,67.86038948378933,0 44.16879263275477,67.86028763028892,0 44.1679974877139,67.8601465056,0 44.16720418487335,67.8600057030246,0 44.16618851844766,67.85986861279477,0 44.16545580297377,67.85974929721129,0 44.1650054370939,67.85966931846782,0 44.16472398195972,67.8596085570892,0 44.16433100164437,67.8595495451826,0 44.16376959331339,67.85942831697395,0 44.16320959814765,67.85932887946103,0 44.16298585821431,67.85928914953871,0 44.16248325806841,67.85923212980903,0 44.1621484665764,67.85919414698724,0 44.16181381985494,67.85913469411787,0 44.16159090558158,67.85909509091059,0 44.16131245681916,67.85907782143477,0 44.16108981679714,67.85903825560491,0 44.16086732284873,67.85899871534431,0 44.16058947255983,67.85893861322863,0 44.16031189666341,67.85887856947913,0 44.15975808484868,67.8587159448621,0 44.15914991428923,67.8585758769193,0 44.15854359419891,67.8584148740364,0 44.15799251952186,67.85831706681094,0 44.15777175684357,67.85829919309505,0 44.15733110233812,67.85824226969237,0 44.1569454343163,67.85820574013567,0 44.15677958546079,67.85820824051656,0 
												","
													44.15677958546079",67.85820824051656,military unit 21514-G,Garrison / Unit Base,garrison,"[""electronic""]"
1645,/R 332nd Radio-Technical Regiment,"44.17371284239815,67.85640442293527,0",44.17371284239815,67.85640442293527,"military unit 21514-G, Rezonans-N radar",Radar / Air Defense Site,radar_air_defense,"[""electronic"", ""radar""]"
1646,/R 332nd Radio-Technical Regiment,"46.97428556946224,60.98063013248104,0",46.97428556946224,60.98063013248104,military unit 21514-D,Garrison / Unit Base,garrison,"[""electronic""]"
1647,/R 332nd Radio-Technical Regiment,"49.04644376245471,67.66100119782126,0",49.04644376245471,67.66100119782126,military unit 21514-Zh,Garrison / Unit Base,garrison,"[""electronic""]"
1648,/R 332nd Radio-Technical Regiment,"47.77971412324162,66.74630687098143,0",47.77971412324162,66.74630687098143,military unit 21514-K,Garrison / Unit Base,garrison,"[""electronic""]"
1649,/R 332nd Radio-Technical Regiment,"40.44557102253339,62.75710961255649,0",40.44557102253339,62.75710961255649,military unit 21514-I,Garrison / Unit Base,garrison,"[""electronic""]"
1650,332nd Radio-Technical Regiment HQ,"40.68273814029152,64.5187161106319,0",40.68273814029152,64.5187161106319,military unit 21514,Garrison / Unit Base,garrison,"[""electronic"", ""hq""]"
1651,1539th Separate Radio Relay Battalion,"33.46122519088177,69.06339116761028,0",33.46122519088177,69.06339116761028,military unit 03777,Garrison / Unit Base,garrison,"[""electronic""]"
1652,1st Air Defense Division HQ,"33.46017573609659,69.05987126481584,0",33.46017573609659,69.05987126481584,military unit 03123,Garrison / Unit Base,garrison,"[""air_defense"", ""hq""]"
1653,33rd Anti-Aircraft Missile Regiment,"52.38770432778251,71.60608014602005,0",52.38770432778251,71.60608014602005,"S-300PM, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1654,414th Anti-Aircraft Missile Regiment HQ (?),"128.8679630500827,71.68958898565322,0",128.8679630500827,71.68958898565322,,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1655,414th Anti-Aircraft Missile Regiment,"128.8406630339339,71.67099589428895,0",128.8406630339339,71.67099589428895,S-300PS,Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1656,89th Separate Aviation Detachment,"40.72649259005328,64.59744636133043,0",40.72649259005328,64.59744636133043,"An-26, Mi-8MTW5",Airbase / Airfield,airbase,"[""aviation""]"
1657,98th Separate Mixed Aviation Regiment,"33.0126877559934,67.9859216227896,0",33.0126877559934,67.9859216227896,"military unit 75385, (12x Su-24M, 12x Su-24MR)",Airbase / Airfield,airbase,"[""aviation""]"
1658,174th Guards Fighter Aviation Regiment,"33.02143817393866,67.9918599953225,0",33.02143817393866,67.9918599953225,20x MiG-31BM,Airbase / Airfield,airbase,"[""aviation""]"
1659,403rd Separate Mixed Aviation Regiment,"33.40503214591077,69.04142060159093,0",33.40503214591077,69.04142060159093,"military unit 49324, (Il-38, Il-20RT, Il-22M, An-12, An-26, Tu-134)",Airbase / Airfield,airbase,"[""aviation""]"
1660,100th Separate Naval Fighter Aviation Regiment,"33.72546811155951,68.86897255895803,0",33.72546811155951,68.86897255895803,"military unit 61287, (MiG-29KR/MiG-29KUB)",Airbase / Airfield,airbase,"[""aviation"", ""naval""]"
1661,279th Separate Naval Fighter Aviation Regiment,"33.72483635591352,68.85871663927934,0",33.72483635591352,68.85871663927934,"military unit 98613, (Su-33. Su-25UTG. Su-30SM)",Airbase / Airfield,airbase,"[""aviation"", ""naval""]"
1662,830th Separate Naval Anti-Submarine Helicopter Regiment,"33.4161290714218,69.02650190657441,0",33.4161290714218,69.02650190657441,"military unit 87268, (Ka-27, Ka-29, Ka-31)",Garrison / Unit Base,garrison,"[""anti_submarine"", ""naval""]"
1663,7050th Aviation Base,"33.7262502672801,68.87027310525056,0",33.7262502672801,68.87027310525056,"An-12, An-24/An-26, Il-18, Il-38, Ka-27/Ka-29/Ka-32, Mi-8",Airbase / Airfield,airbase,"[""aviation""]"
1664,2nd Air Group of the 7050th Aviation Base,"39.12919226931214,59.18716268574711,0",39.12919226931214,59.18716268574711,Tu-142MR/MK,Airbase / Airfield,airbase,"[""aviation""]"
1665,3rd Air Group of the 7050th Aviation Base,"37.50850864800979,55.51429563121238,0",37.50850864800979,55.51429563121238,"An-24/An-26, An-72, An-12, An-140-100",Airbase / Airfield,airbase,"[""aviation""]"
1666,45th Air and Air Defense Forces Army HQ,"33.29437930121433,69.06195184509689,0",33.29437930121433,69.06195184509689,military unit 06351,Garrison / Unit Base,garrison,"[""air_defense"", ""hq""]"
1667,90th Communications Center,"33.28745042024888,69.05514979645676,0",33.28745042024888,69.05514979645676,military unit 34384,Garrison / Unit Base,garrison,"[""electronic""]"
1668,43rd Missile Ship Division,"33.42382614646174,69.08468780941203,0",33.42382614646174,69.08468780941203,"military unit 20475, (Project 1143.5 heavy aircraft-carrying cruiser: Admiral Kuznetsov 063), (Project 11442 heavy nuclear-powered battecruiser: Pyotr Velikiy 099), (Project 1164 Atlant guided-missile cruiser: Marshal Ustinov 055), (Project 956 Sarych guided-missile destroyer: Admiral Ushakov 474), (Project 22350 frigate: Admiral Gorshkov)",Garrison / Unit Base,garrison,"[""missile""]"
1669,16th Repair and Construction Brigade,"39.79214388602157,64.57203390327624,0",39.79214388602157,64.57203390327624,military unit 20458,Garrison / Unit Base,garrison,[]
1670,518th Reconnaissance Ship Squadron,"33.44494831141779,69.09597105635373,0",33.44494831141779,69.09597105635373,military unit 20524,Garrison / Unit Base,garrison,[]
1671,566th Support Vessel Group,"33.05777092686476,69.00813010784219,0",33.05777092686476,69.00813010784219,military unit 77360,Garrison / Unit Base,garrison,[]
1672,140th PDSS Counteraction Special Purpose Detachment,"32.82621948890201,69.33121172993633,0",32.82621948890201,69.33121172993633,military unit 69068,Garrison / Unit Base,garrison,[]
1673,152nd PDSS Counteraction Special Purpose Detachment,"33.45256278717876,69.20375763215806,0",33.45256278717876,69.20375763215806,military unit 13106,Garrison / Unit Base,garrison,[]
1674,160th PDSS Counteraction Special Purpose Detachment,"32.35693095710575,69.42412050325682,0",32.35693095710575,69.42412050325682,military unit 09619,Garrison / Unit Base,garrison,[]
1675,269th PDSS Counteraction Special Purpose Detachment,"33.34559607444061,69.26422926006217,0",33.34559607444061,69.26422926006217,military unit 30853,Garrison / Unit Base,garrison,[]
1676,43rd Separate Water Area Protection Squadron,"39.76494876268534,64.57114242609097,0",39.76494876268534,64.57114242609097,"(Project 1124M corvette: Onega 164, Naryan-Mar 138), (Project 1258 minesweeper: RT-236, RT-259), (Project 773 landing ship: BTR-140)",Garrison / Unit Base,garrison,[]
1677,44th Support Vessel Group,"39.76698614013321,64.57327242460973,0",39.76698614013321,64.57327242460973,,Unknown,unknown,[]
1678,8th Support Vessel Detachment,"33.20325243038918,69.05707600494108,0",33.20325243038918,69.05707600494108,,Unknown,unknown,[]
1679,Separate Detachment from the 566th Support Vessel Group,"33.19938204333757,69.05610761611347,0",33.19938204333757,69.05610761611347,,Garrison / Unit Base,garrison,[]
1680,83rd Hydrographic Vessel Group,"39.82034289684714,64.58219652437117,0",39.82034289684714,64.58219652437117,,Unknown,unknown,[]
1681,601st Separate Hydrographic Ship Squadron,"33.04244680473335,69.04605673614235,0",33.04244680473335,69.04605673614235,,Garrison / Unit Base,garrison,[]
1682,Arctic Trefoil Base,"47.5627487031837,80.79756324367243,0",47.5627487031837,80.79756324367243,,Unknown,unknown,[]
1683,Reserve Command Post of the Northern Fleet,"32.36839554374072,69.43141446641143,0",32.36839554374072,69.43141446641143,,Headquarters / Command,hq_command,"[""hq"", ""naval""]"
1684,Northern Fleet HQ,"33.44287548285509,69.08036532603346,0",33.44287548285509,69.08036532603346,,Unknown,unknown,"[""hq"", ""naval""]"
1685,/D 36th Surface Ship Division,"132.4160387002759,42.93236394977352,0",132.4160387002759,42.93236394977352,"(Project 1164 Atlant guided-missile cruiser: Varyag 011), (Project 956 Sarych destroyer: Boyevoy 720, Burny 778. Bystry 715, Bezboyaznenny 754)",Garrison / Unit Base,garrison,"[""missile""]"
1686,/D 36th Surface Ship Division,"131.8875147546304,43.11175485065947,0",131.8875147546304,43.11175485065947,"(Project 1155 Fregat anti-submarine destroyer: Admiral Panteleyev 548, Admiral Tributs 564, Admiral Vinogradov 572, Marshal Shaposhnikov 543)",Garrison / Unit Base,garrison,"[""anti_submarine"", ""naval""]"
1687,100th Landing Ship Brigade,"132.4145776416193,42.93755542802212,0",132.4145776416193,42.93755542802212,"(Project 775(M): BDK-11 Peresvet 077, BDK-98 Admiral Nevelskoy 055, BDK-101 Oslyabya 066), (Project 1171 landing ship: BDK Nikolay Vilkov 081), (Project 21820 landing craft: Ivan Kartsov 685)",Garrison / Unit Base,garrison,[]
1688,2nd Guards Missile Boat Squadron,"131.9181695641024,43.07972889978232,0",131.9181695641024,43.07972889978232,"(Project 1241T missile boat: R-79 995), (Project 12411(M) missile boat: R-11 940, R-14 924, R-18 937, R-19 978, R-20 921, R-24 946, R-29 916, R-261 991, R-297 954, R-298 971)",Garrison / Unit Base,garrison,"[""missile""]"
1689,11th Water Area Protection Squadron,"131.9191738694141,43.08087082005723,0",131.9191738694141,43.08087082005723,"(Project 1124M corvette: MPK-17 Ust-Ilimsk 362, MPK-64 Metel, MPK-221 Primorskiy Komsomolets 354, MPK-222 Koreyets 390), (Project 1265 minesweeper: BT-114, BT-232 525, BT-100 565)",Unknown,unknown,[]
1690,19th Submarine Brigade,"131.9216581200303,43.08250616627539,0",131.9216581200303,43.08250616627539,"(Project 877 Paltus diesel-electric attack submarine: B-187 Komsomolsk-on-Amur 529, B-190 Krasnokamensk 521, B-394 Nurlat 522, B-464 Ust-Kamchatsk 547, B-494 Ust-Bolsheretsk 549), (Project 636.3: B-274 Petropavlovsk-Kamchatsky, B-588 Ufa, B-602 Magadan, B-603 Volkhov)",Garrison / Unit Base,garrison,"[""anti_submarine"", ""naval""]"
1691,/C 703rd Logistics Center,"158.486410398163,52.92212984718735,0",158.486410398163,52.92212984718735,military unit 25030-4,Garrison / Unit Base,garrison,[]
1692,/C 703rd Logistics Center,"140.2365162785745,49.02231807645664,0",140.2365162785745,49.02231807645664,military unit 25030-18,Garrison / Unit Base,garrison,[]
1693,72nd Submarine Construction and Repair Separate Brigade,"132.3316698916105,43.11917793454893,0",132.3316698916105,43.11917793454893,,Garrison / Unit Base,garrison,"[""anti_submarine"", ""naval""]"
1694,79th Rescue Detachment,"131.920481418645,43.07412450154143,0",131.920481418645,43.07412450154143,,Unknown,unknown,[]
1695,n/a Support Vessel Detachment,"131.8950945773153,43.1114590429089,0",131.8950945773153,43.1114590429089,military unit 44751,Garrison / Unit Base,garrison,[]
1696,Hydrographic Service of the Pacific Fleet,"131.8906484761748,43.09025497267057,0",131.8906484761748,43.09025497267057,,Unknown,unknown,"[""naval""]"
1697,Coastal Combined Forces Flotilla HQ (?),"132.4064531983717,42.96725338286551,0",132.4064531983717,42.96725338286551,military unit 20885,Garrison / Unit Base,garrison,"[""hq""]"
1698,4th Special Purpose Naval Radio Detachment GRU,"131.797092710619,43.05231419023607,0",131.797092710619,43.05231419023607,military unit 51286 (53170-V),Garrison / Unit Base,garrison,"[""electronic"", ""naval""]"
1699,5th Special Purpose Naval Radio Detachment GRU,"158.831749888115,53.10969007053757,0",158.831749888115,53.10969007053757,military unit 30863 (53170-G),Garrison / Unit Base,garrison,"[""electronic"", ""naval""]"
