Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
1284,210th Anti-Aircraft Missile Regiment HQ,"37.58214393291146,56.20197959680296,0",37.58214393291146,56.20197959680296,military unit 51890,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1285,/R 210th Anti-Aircraft Missile Regiment,"37.39610806423546,56.16354246864892,0",37.39610806423546,56.16354246864892,"military unit 51890, command post",Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1286,/R 210th Anti-Aircraft Missile Regiment,"37.60572630661293,56.18795077604935,0",37.60572630661293,56.18795077604935,"military unit 51890, 2nd command post?",Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1287,/R 210th Anti-Aircraft Missile Regiment,"37.60370005326992,56.20620738763305,0",37.60370005326992,56.20620738763305,"military unit 51890, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1288,/R 210th Anti-Aircraft Missile Regiment,"37.82313033041554,56.16760684421329,0",37.82313033041554,56.16760684421329,"military unit 51890, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1289,/R 210th Anti-Aircraft Missile Regiment,"37.2786743301383,56.0702735588188,0",37.2786743301383,56.0702735588188,"military unit 51890, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1290,/R 584th Guards Anti-Aircraft Missile Regiment,"37.03189309658126,56.03126141215327,0",37.03189309658126,56.03126141215327,"military unit 62845, command post",Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1291,/R 584th Guards Anti-Aircraft Missile Regiment,"36.80694179512238,56.33719043144428,0",36.80694179512238,56.33719043144428,"military unit 62845, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1292,612nd Guards Anti-Aircraft Missile Regiment HQ,"37.0500943860649,55.59683988594686,0",37.0500943860649,55.59683988594686,military unit 92925,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1293,/R 612nd Guards Anti-Aircraft Missile Regiment,"37.23506309124124,55.4662373855232,0",37.23506309124124,55.4662373855232,"military unit 92925, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1294,/R 612nd Guards Anti-Aircraft Missile Regiment,"37.00983542904351,55.46992831770941,0",37.00983542904351,55.46992831770941,"military unit 92925, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1295,/R 612nd Guards Anti-Aircraft Missile Regiment,"37.03386219096069,55.48100278590535,0",37.03386219096069,55.48100278590535,"military unit 92925, command post",Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1296,25th Radio-Technical Regiment HQ,"36.33690726013293,55.63222174331234,0",36.33690726013293,55.63222174331234,military unit 86655,Garrison / Unit Base,garrison,"[""electronic"", ""hq""]"
1297,/R 25th Radio-Technical Regiment,"36.24788315134604,55.07181060615022,0",36.24788315134604,55.07181060615022,military unit 86655,Garrison / Unit Base,garrison,"[""electronic""]"
1298,/R 25th Radio-Technical Regiment,"35.90665926970608,55.60185803266349,0",35.90665926970608,55.60185803266349,military unit 86655-E,Garrison / Unit Base,garrison,"[""electronic""]"
1299,/R 25th Radio-Technical Regiment,"35.58399581433917,55.86326304944803,0",35.58399581433917,55.86326304944803,military unit 86655-M,Garrison / Unit Base,garrison,"[""electronic""]"
1300,/R 25th Radio-Technical Regiment,"36.55429350650552,56.56986038293549,0",36.55429350650552,56.56986038293549,military unit 86655-V,Garrison / Unit Base,garrison,"[""electronic""]"
1301,/R 25th Radio-Technical Regiment,"35.75626536831452,56.25114940087021,0",35.75626536831452,56.25114940087021,military unit 86655,Garrison / Unit Base,garrison,"[""electronic""]"
1302,/R 25th Radio-Technical Regiment,"38.126874486058,56.92184415079962,0",38.126874486058,56.92184415079962,military unit 86655,Garrison / Unit Base,garrison,"[""electronic""]"
1303,4th Air Defense Division HQ,"37.52082213449334,55.95088914123452,0",37.52082213449334,55.95088914123452,military unit 52116,Garrison / Unit Base,garrison,"[""air_defense"", ""hq""]"
1304,549th Anti-Aicraft Missile Regiment HQ,"37.76009969360216,55.31550699648338,0",37.76009969360216,55.31550699648338,military unit 61991,Missile Unit / Site,missile_base,"[""hq"", ""missile""]"
1305,/R 549th Anti-Aircraft Missile Regiment,"37.44387280970302,55.36290418831163,0",37.44387280970302,55.36290418831163,"military unit 61991, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
